ENTER_STDBY_DELAY!!
enter standby-mode! 
 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2058, vref:1255 mV
pwm output enable!
bat:4064mV, curr:370mA, ntc:8321R,  RMP:12000, duty:479, vbemf:597, bat_level:99, rpm_step:0, duty=479 
bat:4064mV, curr:350mA, ntc:8321R,  RMP:12000, duty:479, vbemf:612, bat_level:99, rpm_step:0, duty=479 
bat:4064mV, curr:350mA, ntc:8321R,  RMP:12000, duty:477, vbemf:620, bat_level:99, rpm_step:0, duty=477 
bat:4064mV, curr:350mA, ntc:8321R,  RMP:12000, duty:475, vbemf:624, bat_level:99, rpm_step:0, duty=475 
bat:4064mV, curr:350mA, ntc:8321R,  RMP:12000, duty:473, vbemf:624, bat_level:99, rpm_step:0, duty=473 
bat:4062mV, curr:350mA, ntc:8315R,  RMP:12000, duty:473, vbemf:626, bat_level:99, rpm_step:0, duty=473 
bat:4064mV, curr:350mA, ntc:8321R,  RMP:12000, duty:473, vbemf:630, bat_level:99, rpm_step:0, duty=473 
bat:4062mV, curr:350mA, ntc:8315R,  RMP:12000, duty:472, vbemf:624, bat_level:99, rpm_step:0, duty=472 
bat:4062mV, curr:350mA, ntc:8315R,  RMP:12000, duty:483, vbemf:539, bat_level:99, rpm_step:0, duty=483 
bat:4060mV, curr:430mA, ntc:8310R,  RMP:12002, duty:516, vbemf:490, bat_level:99, rpm_step:0, duty=516 
bat:4056mV, curr:490mA, ntc:8300R,  RMP:12002, duty:548, vbemf:477, bat_level:99, rpm_step:0, duty=548 
bat:4050mV, curr:570mA, ntc:8295R,  RMP:12152, duty:580, vbemf:406, bat_level:99, rpm_step:0, duty=580 
bat:4046mV, curr:630mA, ntc:8284R,  RMP:12152, duty:611, vbemf:511, bat_level:99, rpm_step:0, duty=611 
bat:4044mV, curr:650mA, ntc:8279R,  RMP:12152, duty:615, vbemf:499, bat_level:99, rpm_step:0, duty=615 
bat:4042mV, curr:690mA, ntc:8274R,  RMP:12152, duty:635, vbemf:543, bat_level:99, rpm_step:0, duty=635 
bat:4040mV, curr:730mA, ntc:8268R,  RMP:12152, duty:648, vbemf:582, bat_level:99, rpm_step:0, duty=648 
bat:4038mV, curr:710mA, ntc:8275R,  RMP:12152, duty:633, vbemf:570, bat_level:99, rpm_step:0, duty=633 
bat:4040mV, curr:690mA, ntc:8268R,  RMP:12152, duty:636, vbemf:513, bat_level:99, rpm_step:0, duty=636 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:4040mV, curr:710mA, ntc:8268R,  RMP:12152, duty:644, vbemf:581, bat_level:99, rpm_step:0, duty=644 
bat:4038mV, curr:730mA, ntc:8263R,  RMP:12152, duty:647, vbemf:580, bat_level:99, rpm_step:0, duty=647 
bat:4036mV, curr:730mA, ntc:8269R,  RMP:12152, duty:647, vbemf:554, bat_level:99, rpm_step:0, duty=647 
