 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2057, vref:1254 mV
pwm output enable!
bat:4010mV, curr:450mA, ntc:8482R,  RMP:11916, duty:520, vbemf:528, bat_level:96, rpm_step:0, duty=520 
bat:4010mV, curr:450mA, ntc:8482R,  RMP:11916, duty:520, vbemf:576, bat_level:96, rpm_step:0, duty=520 
bat:4010mV, curr:450mA, ntc:8482R,  RMP:11916, duty:520, vbemf:603, bat_level:96, rpm_step:0, duty=520 
bat:4010mV, curr:450mA, ntc:8470R,  RMP:11916, duty:520, vbemf:617, bat_level:96, rpm_step:0, duty=520 
bat:4010mV, curr:450mA, ntc:8470R,  RMP:11916, duty:520, vbemf:622, bat_level:96, rpm_step:0, duty=520 
bat:4010mV, curr:450mA, ntc:8470R,  RMP:11916, duty:518, vbemf:625, bat_level:96, rpm_step:0, duty=518 
bat:4010mV, curr:450mA, ntc:8470R,  RMP:11916, duty:518, vbemf:627, bat_level:96, rpm_step:0, duty=518 
bat:4010mV, curr:450mA, ntc:8470R,  RMP:11916, duty:518, vbemf:631, bat_level:96, rpm_step:0, duty=518 
bat:4010mV, curr:430mA, ntc:8470R,  RMP:11916, duty:518, vbemf:636, bat_level:96, rpm_step:0, duty=518 
bat:4010mV, curr:430mA, ntc:8470R,  RMP:11916, duty:512, vbemf:631, bat_level:96, rpm_step:0, duty=512 
bat:4010mV, curr:430mA, ntc:8470R,  RMP:11916, duty:510, vbemf:622, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:410mA, ntc:8470R,  RMP:11916, duty:510, vbemf:627, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:410mA, ntc:8458R,  RMP:11916, duty:510, vbemf:599, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:430mA, ntc:8458R,  RMP:11916, duty:510, vbemf:608, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:430mA, ntc:8458R,  RMP:11916, duty:510, vbemf:609, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:410mA, ntc:8458R,  RMP:11916, duty:510, vbemf:620, bat_level:96, rpm_step:0, duty=510 
bat:4010mV, curr:430mA, ntc:8458R,  RMP:11916, duty:510, vbemf:610, bat_level:96, rpm_step:0, duty=510 
bat:4008mV, curr:430mA, ntc:8452R,  RMP:11916, duty:516, vbemf:525, bat_level:96, rpm_step:0, duty=516 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:4006mV, curr:470mA, ntc:8447R,  RMP:11916, duty:533, vbemf:453, bat_level:96, rpm_step:0, duty=533 
bat:4002mV, curr:530mA, ntc:8448R,  RMP:11916, duty:565, vbemf:415, bat_level:96, rpm_step:0, duty=565 
bat:3998mV, curr:610mA, ntc:8437R,  RMP:11916, duty:597, vbemf:451, bat_level:96, rpm_step:0, duty=597 
bat:3994mV, curr:670mA, ntc:8426R,  RMP:11916, duty:629, vbemf:500, bat_level:96, rpm_step:0, duty=629 
bat:3988mV, curr:750mA, ntc:8422R,  RMP:11916, duty:661, vbemf:470, bat_level:96, rpm_step:0, duty=661 
bat:3984mV, curr:830mA, ntc:8411R,  RMP:11916, duty:693, vbemf:486, bat_level:96, rpm_step:0, duty=693 
bat:3978mV, curr:910mA, ntc:8406R,  RMP:11916, duty:725, vbemf:497, bat_level:96, rpm_step:0, duty=725 
bat:3974mV, curr:970mA, ntc:8395R,  RMP:11916, duty:736, vbemf:518, bat_level:96, rpm_step:0, duty=736 
bat:3974mV, curr:990mA, ntc:8407R,  RMP:12066, duty:744, vbemf:435, bat_level:96, rpm_step:0, duty=744 
bat:3970mV, curr:1030mA, ntc:8396R,  RMP:12051, duty:751, vbemf:515, bat_level:96, rpm_step:0, duty=751 
bat:3972mV, curr:1030mA, ntc:8390R,  RMP:12051, duty:751, vbemf:564, bat_level:96, rpm_step:0, duty=751 
bat:3972mV, curr:1010mA, ntc:8402R,  RMP:12021, duty:731, vbemf:521, bat_level:96, rpm_step:0, duty=731 
bat:3972mV, curr:970mA, ntc:8390R,  RMP:12021, duty:733, vbemf:492, bat_level:96, rpm_step:0, duty=733 
bat:3972mV, curr:1010mA, ntc:8390R,  RMP:12021, duty:747, vbemf:587, bat_level:96, rpm_step:0, duty=747 
bat:3970mV, curr:1010mA, ntc:8384R,  RMP:12021, duty:747, vbemf:566, bat_level:96, rpm_step:0, duty=747 
bat:3970mV, curr:1010mA, ntc:8384R,  RMP:12021, duty:746, vbemf:574, bat_level:96, rpm_step:0, duty=746 
bat:3968mV, curr:1030mA, ntc:8379R,  RMP:12021, duty:756, vbemf:521, bat_level:96, rpm_step:0, duty=756 
bat:3966mV, curr:1070mA, ntc:8373R,  RMP:12021, duty:762, vbemf:580, bat_level:96, rpm_step:0, duty=762 
bat:3966mV, curr:1050mA, ntc:8373R,  RMP:12021, duty:757, vbemf:550, bat_level:96, rpm_step:0, duty=757 
bat:3964mV, curr:1090mA, ntc:8368R,  RMP:12021, duty:771, vbemf:518, bat_level:96, rpm_step:0, duty=771 
