 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3772mV, curr:1420mA, ntc:6855R, adj:0, RMP:16267, duty:650, vbemf:215, bat_level:90, is_use_emergency_flag=0 
bat:3770mV, curr:1420mA, ntc:6850R, adj:0, RMP:16267, duty:650, vbemf:209, bat_level:90, is_use_emergency_flag=0 
bat:3770mV, curr:1420mA, ntc:6850R, adj:0, RMP:16267, duty:650, vbemf:206, bat_level:90, is_use_emergency_flag=0 
bat:3768mV, curr:1440mA, ntc:6854R, adj:0, RMP:16267, duty:650, vbemf:200, bat_level:90, is_use_emergency_flag=0 
bat:3768mV, curr:1440mA, ntc:6854R, adj:0, RMP:16267, duty:650, vbemf:201, bat_level:90, is_use_emergency_flag=0 
bat:3768mV, curr:1420mA, ntc:6854R, adj:0, RMP:16267, duty:650, vbemf:198, bat_level:90, is_use_emergency_flag=0 
bat:3766mV, curr:1420mA, ntc:6849R, adj:0, RMP:16267, duty:650, vbemf:196, bat_level:90, is_use_emergency_flag=0 
bat:3764mV, curr:1440mA, ntc:6845R, adj:0, RMP:16267, duty:650, vbemf:194, bat_level:90, is_use_emergency_flag=0 
bat:3764mV, curr:1440mA, ntc:6845R, adj:0, RMP:16267, duty:650, vbemf:194, bat_level:90, is_use_emergency_flag=0 
bat:3764mV, curr:1440mA, ntc:6845R, adj:0, RMP:16267, duty:650, vbemf:191, bat_level:90, is_use_emergency_flag=0 
bat:3764mV, curr:1440mA, ntc:6845R, adj:0, RMP:16267, duty:650, vbemf:193, bat_level:90, is_use_emergency_flag=0 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:3762mV, curr:1440mA, ntc:6840R, adj:0, RMP:16267, duty:654, vbemf:192, bat_level:90, is_use_emergency_flag=0 
bat:3758mV, curr:1500mA, ntc:6839R, adj:0, RMP:16267, duty:686, vbemf:196, bat_level:90, is_use_emergency_flag=0 
bat:3748mV, curr:1660mA, ntc:6823R, adj:0, RMP:16267, duty:718, vbemf:197, bat_level:90, is_use_emergency_flag=0 
bat:3736mV, curr:1820mA, ntc:6803R, adj:0, RMP:16267, duty:750, vbemf:196, bat_level:90, is_use_emergency_flag=0 
bat:3726mV, curr:2000mA, ntc:6787R, adj:0, RMP:16267, duty:782, vbemf:194, bat_level:90, is_use_emergency_flag=0 
bat:3714mV, curr:2180mA, ntc:6767R, adj:0, RMP:16267, duty:814, vbemf:193, bat_level:90, is_use_emergency_flag=0 
bat:3702mV, curr:2360mA, ntc:6755R, adj:0, RMP:16267, duty:846, vbemf:191, bat_level:90, is_use_emergency_flag=0 
bat:3692mV, curr:2500mA, ntc:6740R, adj:0, RMP:16267, duty:850, vbemf:190, bat_level:90, is_use_emergency_flag=0 
bat:3692mV, curr:2500mA, ntc:6740R, adj:0, RMP:16267, duty:850, vbemf:188, bat_level:90, is_use_emergency_flag=0 
bat:3692mV, curr:2500mA, ntc:6740R, adj:0, RMP:16267, duty:850, vbemf:187, bat_level:90, is_use_emergency_flag=0 
bat:3690mV, curr:2500mA, ntc:6744R, adj:0, RMP:16267, duty:850, vbemf:187, bat_level:90, is_use_emergency_flag=0 
bat:3690mV, curr:2500mA, ntc:6744R, adj:0, RMP:16267, duty:850, vbemf:187, bat_level:90, is_use_emergency_flag=0 
bat:3688mV, curr:2500mA, ntc:6739R, adj:0, RMP:16267, duty:850, vbemf:185, bat_level:90, is_use_emergency_flag=0 
bat:3686mV, curr:2480mA, ntc:6734R, adj:0, RMP:16267, duty:850, vbemf:186, bat_level:90, is_use_emergency_flag=0 
bat:3686mV, curr:2480mA, ntc:6734R, adj:0, RMP:16267, duty:850, vbemf:186, bat_level:90, is_use_emergency_flag=0 
bat:3684mV, curr:2480mA, ntc:6738R, adj:0, RMP:16267, duty:850, vbemf:185, bat_level:90, is_use_emergency_flag=0 
bat:3684mV, curr:2480mA, ntc:6738R, adj:0, RMP:16267, duty:850, vbemf:184, bat_level:90, is_use_emergency_flag=0 
bat:3684mV, curr:2480mA, ntc:6738R, adj:0, RMP:16267, duty:850, vbemf:187, bat_level:90, is_use_emergency_flag=0 
bat:3684mV, curr:2480mA, ntc:6738R, adj:0, RMP:16267, duty:850, vbemf:189, bat_level:90, is_use_emergency_flag=0 
bat:3680mV, curr:2480mA, ntc:6728R, adj:0, RMP:16267, duty:850, vbemf:190, bat_level:90, is_use_emergency_flag=0 
bat:3680mV, curr:2480mA, ntc:6728R, adj:0, RMP:16267, duty:850, vbemf:186, bat_level:90, is_use_emergency_flag=0 
bat:3680mV, curr:2480mA, ntc:6737R, adj:0, RMP:16267, duty:850, vbemf:189, bat_level:90, is_use_emergency_flag=0 
bat:3678mV, curr:2480mA, ntc:6723R, adj:0, RMP:16267, duty:850, vbemf:184, bat_level:90, is_use_emergency_flag=0 
bat:3676mV, curr:2480mA, ntc:6727R, adj:0, RMP:16267, duty:850, vbemf:187, bat_level:90, is_use_emergency_flag=0 
bat:3676mV, curr:2480mA, ntc:6727R, adj:0, RMP:16267, duty:850, vbemf:185, bat_level:90, is_use_emergency_flag=0 
bat:3674mV, curr:2480mA, ntc:6722R, adj:0, RMP:16267, duty:850, vbemf:185, bat_level:90, is_use_emergency_flag=0 
bat:3674mV, curr:2480mA, ntc:6722R, adj:0, RMP:16267, duty:850, vbemf:186, bat_level:90, is_use_emergency_flag=0 
bat:3674mV, curr:2480mA, ntc:6722R, adj:0, RMP:16267, duty:850, vbemf:180, bat_level:90, is_use_emergency_flag=0 
bat:3674mV, curr:2480mA, ntc:6722R, adj:0, RMP:16267, duty:850, vbemf:179, bat_level:90, is_use_emergency_flag=0 
bat:3672mV, curr:2480mA, ntc:6717R, adj:0, RMP:16267, duty:850, vbemf:183, bat_level:90, is_use_emergency_flag=0 
bat:3672mV, curr:2480mA, ntc:6717R, adj:0, RMP:16267, duty:850, vbemf:182, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2480mA, ntc:6712R, adj:0, RMP:16267, duty:850, vbemf:183, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2480mA, ntc:6712R, adj:0, RMP:16267, duty:850, vbemf:183, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2440mA, ntc:6712R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3672mV, curr:2420mA, ntc:6717R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:239, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2440mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:251, bat_level:90, is_use_emergency_flag=0 
bat:3670mV, curr:2420mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:257, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:272, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:265, bat_level:90, is_use_emergency_flag=0 
bat:3668mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:253, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:237, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:255, bat_level:90, is_use_emergency_flag=0 
bat:3666mV, curr:2440mA, ntc:6721R, adj:0, RMP:16267, duty:850, vbemf:251, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:244, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:238, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2440mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:258, bat_level:90, is_use_emergency_flag=0 
bat:3664mV, curr:2420mA, ntc:6716R, adj:0, RMP:16267, duty:850, vbemf:254, bat_level:90, is_use_emergency_flag=0 
bat:3662mV, curr:2420mA, ntc:6711R, adj:0, RMP:16267, duty:850, vbemf:264, bat_level:90, is_use_emergency_flag=0 
