 
 
 *exit standby-mode! 
task_idle highWater:12
*enter task_motor!
*enter task_dyn_reg!
adc_temp:2056, vref:1254 mV
pwm output enable!
bat:3996mV, curr:850mA, ntc:7736R,  RMP:12666, duty:650, vbemf:343, bat_level:96, rpm_step:-15, duty=652 
bat:3996mV, curr:790mA, ntc:7725R,  RMP:12186, duty:650, vbemf:545, bat_level:96, rpm_step:-15, duty=652 
bat:4004mV, curr:630mA, ntc:7735R,  RMP:11931, duty:580, vbemf:489, bat_level:96, rpm_step:0, duty=580 
bat:4006mV, curr:570mA, ntc:7740R,  RMP:11931, duty:580, vbemf:536, bat_level:96, rpm_step:0, duty=580 
bat:4006mV, curr:570mA, ntc:7740R,  RMP:11931, duty:572, vbemf:550, bat_level:96, rpm_step:0, duty=572 
bat:4008mV, curr:530mA, ntc:7745R,  RMP:11931, duty:562, vbemf:560, bat_level:96, rpm_step:0, duty=562 
bat:4010mV, curr:510mA, ntc:7750R,  RMP:11931, duty:556, vbemf:564, bat_level:96, rpm_step:0, duty=556 
bat:4010mV, curr:510mA, ntc:7740R,  RMP:11931, duty:549, vbemf:556, bat_level:96, rpm_step:0, duty=549 
bat:4010mV, curr:510mA, ntc:7740R,  RMP:11931, duty:545, vbemf:557, bat_level:96, rpm_step:0, duty=545 
bat:4010mV, curr:490mA, ntc:7729R,  RMP:11931, duty:541, vbemf:572, bat_level:96, rpm_step:0, duty=541 
bat:4010mV, curr:470mA, ntc:7729R,  RMP:11931, duty:535, vbemf:568, bat_level:96, rpm_step:0, duty=535 
bat:4012mV, curr:470mA, ntc:7735R,  RMP:11931, duty:532, vbemf:581, bat_level:96, rpm_step:0, duty=532 
bat:4010mV, curr:470mA, ntc:7729R,  RMP:11931, duty:529, vbemf:583, bat_level:96, rpm_step:0, duty=529 
bat:4012mV, curr:450mA, ntc:7735R,  RMP:11931, duty:523, vbemf:584, bat_level:96, rpm_step:0, duty=523 
