 
 
 *exit standby-mode! 
task_idle highWater:21
adc_module_init comp. 
*enter task_motor!
*enter task_dyn_reg!
pwm output enable!
bat:3680mV, curr:1340mA, ntc:7668R, adj:0, RMP:15534, duty:650, vbemf:332, bat_level:85, is_use_emergency_flag=0 
bat:3676mV, curr:1360mA, ntc:7657R, adj:0, RMP:15534, duty:650, vbemf:310, bat_level:85, is_use_emergency_flag=0 
bat:3674mV, curr:1380mA, ntc:7663R, adj:0, RMP:15534, duty:650, vbemf:293, bat_level:85, is_use_emergency_flag=0 
bat:3672mV, curr:1380mA, ntc:7657R, adj:0, RMP:15534, duty:650, vbemf:284, bat_level:85, is_use_emergency_flag=0 
bat:3670mV, curr:1380mA, ntc:7663R, adj:0, RMP:15534, duty:650, vbemf:277, bat_level:85, is_use_emergency_flag=0 
bat:3670mV, curr:1380mA, ntc:7663R, adj:0, RMP:15534, duty:650, vbemf:275, bat_level:85, is_use_emergency_flag=0 
bat:3668mV, curr:1400mA, ntc:7658R, adj:0, RMP:15534, duty:650, vbemf:268, bat_level:85, is_use_emergency_flag=0 
bat:3668mV, curr:1400mA, ntc:7658R, adj:0, RMP:15534, duty:650, vbemf:264, bat_level:85, is_use_emergency_flag=0 
bat:3668mV, curr:1400mA, ntc:7658R, adj:0, RMP:15534, duty:650, vbemf:260, bat_level:85, is_use_emergency_flag=0 
bat:3666mV, curr:1400mA, ntc:7652R, adj:0, RMP:15534, duty:650, vbemf:256, bat_level:85, is_use_emergency_flag=0 
bat:3664mV, curr:1400mA, ntc:7647R, adj:0, RMP:15534, duty:650, vbemf:253, bat_level:85, is_use_emergency_flag=0 
motor_sta.is_control_duty_scan_freq = 0 remove restrict!

bat:3662mV, curr:1420mA, ntc:7641R, adj:0, RMP:15534, duty:671, vbemf:259, bat_level:85, is_use_emergency_flag=0 
bat:3652mV, curr:1580mA, ntc:7625R, adj:0, RMP:15534, duty:703, vbemf:259, bat_level:85, is_use_emergency_flag=0 
bat:3642mV, curr:1720mA, ntc:7608R, adj:0, RMP:15534, duty:735, vbemf:264, bat_level:85, is_use_emergency_flag=0 
bat:3632mV, curr:1880mA, ntc:7592R, adj:0, RMP:15534, duty:767, vbemf:266, bat_level:85, is_use_emergency_flag=0 
bat:3620mV, curr:2060mA, ntc:7570R, adj:0, RMP:15549, duty:799, vbemf:266, bat_level:85, is_use_emergency_flag=0 
bat:3608mV, curr:2240mA, ntc:7547R, adj:0, RMP:15549, duty:831, vbemf:262, bat_level:85, is_use_emergency_flag=0 
bat:3596mV, curr:2420mA, ntc:7536R, adj:0, RMP:15549, duty:850, vbemf:261, bat_level:85, is_use_emergency_flag=0 
bat:3592mV, curr:2460mA, ntc:7536R, adj:0, RMP:15549, duty:850, vbemf:254, bat_level:85, is_use_emergency_flag=0 
bat:3590mV, curr:2460mA, ntc:7531R, adj:0, RMP:15549, duty:850, vbemf:255, bat_level:85, is_use_emergency_flag=0 
bat:3590mV, curr:2460mA, ntc:7531R, adj:0, RMP:15549, duty:850, vbemf:248, bat_level:85, is_use_emergency_flag=0 
bat:3588mV, curr:2460mA, ntc:7525R, adj:0, RMP:15549, duty:850, vbemf:249, bat_level:85, is_use_emergency_flag=0 
bat:3586mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:247, bat_level:85, is_use_emergency_flag=0 
bat:3586mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:244, bat_level:85, is_use_emergency_flag=0 
bat:3582mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:239, bat_level:85, is_use_emergency_flag=0 
bat:3582mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:242, bat_level:85, is_use_emergency_flag=0 
bat:3582mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:239, bat_level:85, is_use_emergency_flag=0 
bat:3582mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:237, bat_level:85, is_use_emergency_flag=0 
bat:3582mV, curr:2460mA, ntc:7520R, adj:0, RMP:15549, duty:850, vbemf:233, bat_level:85, is_use_emergency_flag=0 
bat:3580mV, curr:2460mA, ntc:7514R, adj:0, RMP:15549, duty:850, vbemf:233, bat_level:85, is_use_emergency_flag=0 
